mode,impact_category,unit,result_per_pkm
auto_benzin,Acidification,mol H+ eq,0.0005366076011294802
auto_benzin,Climate change,kg CO2 eq,0.2705877133723606
auto_benzin,Climate change (biogenic),kg CO2 eq,0.00041557909122945234
auto_benzin,Climate change (fossil),kg CO2 eq,0.2701072406459124
auto_benzin,Climate change (land use),kg CO2 eq,6.489363521878453e-05
auto_benzin,Ecotoxicity freshwater,CTUe,0.8260428932834736
auto_benzin,Ecotoxicity freshwater (inorganics),CTUe,0.7618768057829716
auto_benzin,Ecotoxicity freshwater (organics),CTUe,0.06416608750050191
auto_benzin,Eutrophication freshwater,kg P eq,3.425317634345383e-05
auto_benzin,Eutrophication marine,kg N eq,0.00010308879279887772
auto_benzin,Eutrophication terrestrial,mol N eq,0.0013230474376315767
auto_benzin,Human toxicity cancer,CTUh,6.019811040825067e-11
auto_benzin,Human toxicity cancer (inorganics),CTUh,2.028792962426008e-11
auto_benzin,Human toxicity cancer (organics),CTUh,3.9910180783990593e-11
auto_benzin,Human toxicity non-cancer,CTUh,1.9429509655099017e-09
auto_benzin,Human toxicity non-cancer (inorganics),CTUh,1.7568866146755473e-09
auto_benzin,Human toxicity non-cancer (organics),CTUh,1.860643508305046e-10
auto_benzin,Ionising radiation (human health),kBq U235 eq,0.06254185493695881
auto_benzin,Land use,dimensionless (pt),1.8169240554478585
auto_benzin,Ozone depletion,kg CFC11 eq,5.501277240800439e-08
auto_benzin,Particulate matter,disease incidence,7.2528861568732585e-09
auto_benzin,Photochemical ozone formation (human health),kg NMVOC eq,0.0007926434755928737
auto_benzin,Resource use fossils,MJ (net calorific),3.8459163266465444
auto_benzin,Resource use minerals and metals,kg Sb eq,2.3311251929931587e-06
auto_benzin,Water use,m3 world eq,0.012665908090887967
auto_diesel,Acidification,mol H+ eq,0.0007871814210552737
auto_diesel,Climate change,kg CO2 eq,0.23355525424487725
auto_diesel,Climate change (biogenic),kg CO2 eq,0.00036035291291351256
auto_diesel,Climate change (fossil),kg CO2 eq,0.23235094679401325
auto_diesel,Climate change (land use),kg CO2 eq,0.0008439545379504927
auto_diesel,Ecotoxicity freshwater,CTUe,0.8583948884742935
auto_diesel,Ecotoxicity freshwater (inorganics),CTUe,0.765294692995788
auto_diesel,Ecotoxicity freshwater (organics),CTUe,0.09310019547850565
auto_diesel,Eutrophication freshwater,kg P eq,3.4775867160889405e-05
auto_diesel,Eutrophication marine,kg N eq,0.000296820898254993
auto_diesel,Eutrophication terrestrial,mol N eq,0.0030459794695383265
auto_diesel,Human toxicity cancer,CTUh,4.686848131753162e-11
auto_diesel,Human toxicity cancer (inorganics),CTUh,2.0051040912981496e-11
auto_diesel,Human toxicity cancer (organics),CTUh,2.6817440404550123e-11
auto_diesel,Human toxicity non-cancer,CTUh,1.8187056672432663e-09
auto_diesel,Human toxicity non-cancer (inorganics),CTUh,1.660140839422763e-09
auto_diesel,Human toxicity non-cancer (organics),CTUh,1.5856482781658807e-10
auto_diesel,Ionising radiation (human health),kBq U235 eq,0.06031896813205765
auto_diesel,Land use,dimensionless (pt),0.9861473731692928
auto_diesel,Ozone depletion,kg CFC11 eq,5.210742293601239e-08
auto_diesel,Particulate matter,disease incidence,7.165918101715217e-09
auto_diesel,Photochemical ozone formation (human health),kg NMVOC eq,0.0011354937598291937
auto_diesel,Resource use fossils,MJ (net calorific),3.3438078389412706
auto_diesel,Resource use minerals and metals,kg Sb eq,2.3713281406124307e-06
auto_diesel,Water use,m3 world eq,0.012637582814676307
auto_hybrid_conv,Acidification,mol H+ eq,0.0008092818352058973
auto_hybrid_conv,Climate change,kg CO2 eq,0.31522102008066494
auto_hybrid_conv,Climate change (biogenic),kg CO2 eq,0.0011536750024019353
auto_hybrid_conv,Climate change (fossil),kg CO2 eq,0.3139781754934829
auto_hybrid_conv,Climate change (land use),kg CO2 eq,8.916958478011225e-05
auto_hybrid_conv,Ecotoxicity freshwater,CTUe,1.0773279480660514
auto_hybrid_conv,Ecotoxicity freshwater (inorganics),CTUe,0.9989640264686174
auto_hybrid_conv,Ecotoxicity freshwater (organics),CTUe,0.07836392159743438
auto_hybrid_conv,Eutrophication freshwater,kg P eq,0.00013494224009204828
auto_hybrid_conv,Eutrophication marine,kg N eq,0.00015287556182116917
auto_hybrid_conv,Eutrophication terrestrial,mol N eq,0.0014138611476996943
auto_hybrid_conv,Human toxicity cancer,CTUh,1.3218517671378435e-10
auto_hybrid_conv,Human toxicity cancer (inorganics),CTUh,3.881864110240472e-11
auto_hybrid_conv,Human toxicity cancer (organics),CTUh,9.336653561137964e-11
auto_hybrid_conv,Human toxicity non-cancer,CTUh,3.42087923571272e-09
auto_hybrid_conv,Human toxicity non-cancer (inorganics),CTUh,3.1387303068278466e-09
auto_hybrid_conv,Human toxicity non-cancer (organics),CTUh,2.8214892887950305e-10
auto_hybrid_conv,Ionising radiation (human health),kBq U235 eq,0.07613923256272181
auto_hybrid_conv,Land use,dimensionless (pt),2.1882459179859213
auto_hybrid_conv,Ozone depletion,kg CFC11 eq,7.412396382256949e-09
auto_hybrid_conv,Particulate matter,disease incidence,8.555409888306243e-09
auto_hybrid_conv,Photochemical ozone formation (human health),kg NMVOC eq,0.0008939486803922249
auto_hybrid_conv,Resource use fossils,MJ (net calorific),4.460346801166846
auto_hybrid_conv,Resource use minerals and metals,kg Sb eq,5.2796082607634165e-06
auto_hybrid_conv,Water use,m3 world eq,0.02738212657021677
auto_hybrid_green,Acidification,mol H+ eq,0.0007393072799857001
auto_hybrid_green,Climate change,kg CO2 eq,0.26641397933403815
auto_hybrid_green,Climate change (biogenic),kg CO2 eq,0.0005606680569030367
auto_hybrid_green,Climate change (fossil),kg CO2 eq,0.26569096143370347
auto_hybrid_green,Climate change (land use),kg CO2 eq,0.00016234984343166907
auto_hybrid_green,Ecotoxicity freshwater,CTUe,1.0162887486810133
auto_hybrid_green,Ecotoxicity freshwater (inorganics),CTUe,0.938934700277102
auto_hybrid_green,Ecotoxicity freshwater (organics),CTUe,0.07735404840391175
auto_hybrid_green,Eutrophication freshwater,kg P eq,8.056264971951019e-05
auto_hybrid_green,Eutrophication marine,kg N eq,0.00012435135302982567
auto_hybrid_green,Eutrophication terrestrial,mol N eq,0.0012088503100342253
auto_hybrid_green,Human toxicity cancer,CTUh,8.191998937690302e-11
auto_hybrid_green,Human toxicity cancer (inorganics),CTUh,3.589657905456538e-11
auto_hybrid_green,Human toxicity cancer (organics),CTUh,4.6023410322337625e-11
auto_hybrid_green,Human toxicity non-cancer,CTUh,3.215509631066271e-09
auto_hybrid_green,Human toxicity non-cancer (inorganics),CTUh,2.942029016277435e-09
auto_hybrid_green,Human toxicity non-cancer (organics),CTUh,2.73480614783482e-10
auto_hybrid_green,Ionising radiation (human health),kBq U235 eq,0.06818406848683686
auto_hybrid_green,Land use,dimensionless (pt),2.0102534217875982
auto_hybrid_green,Ozone depletion,kg CFC11 eq,6.679909420021139e-09
auto_hybrid_green,Particulate matter,disease incidence,8.21469045546767e-09
auto_hybrid_green,Photochemical ozone formation (human health),kg NMVOC eq,0.0008214456850466485
auto_hybrid_green,Resource use fossils,MJ (net calorific),3.895130413129162
auto_hybrid_green,Resource use minerals and metals,kg Sb eq,5.249128279303367e-06
auto_hybrid_green,Water use,m3 world eq,0.02186327734278848
auto_strom_conv,Acidification,mol H+ eq,0.0005707266108325559
auto_strom_conv,Climate change,kg CO2 eq,0.1711298066242925
auto_strom_conv,Climate change (biogenic),kg CO2 eq,0.0016507311752102449
auto_strom_conv,Climate change (fossil),kg CO2 eq,0.16939472800558314
auto_strom_conv,Climate change (land use),kg CO2 eq,8.434744349913349e-05
auto_strom_conv,Ecotoxicity freshwater,CTUe,0.715703624640884
auto_strom_conv,Ecotoxicity freshwater (inorganics),CTUe,0.6906165368397155
auto_strom_conv,Ecotoxicity freshwater (organics),CTUe,0.025087087801168487
auto_strom_conv,Eutrophication freshwater,kg P eq,0.0002028092479069257
auto_strom_conv,Eutrophication marine,kg N eq,0.00013614317574301611
auto_strom_conv,Eutrophication terrestrial,mol N eq,0.0010402292713177336
auto_strom_conv,Human toxicity cancer,CTUh,1.564554864041401e-10
auto_strom_conv,Human toxicity cancer (inorganics),CTUh,4.133666773276503e-11
auto_strom_conv,Human toxicity cancer (organics),CTUh,1.1511881867137505e-10
auto_strom_conv,Human toxicity non-cancer,CTUh,3.769284408494194e-09
auto_strom_conv,Human toxicity non-cancer (inorganics),CTUh,3.5623327112701635e-09
auto_strom_conv,Human toxicity non-cancer (organics),CTUh,2.0695169722039683e-10
auto_strom_conv,Ionising radiation (human health),kBq U235 eq,0.07468477800028897
auto_strom_conv,Land use,dimensionless (pt),2.119130626877167
auto_strom_conv,Ozone depletion,kg CFC11 eq,4.050224842243435e-09
auto_strom_conv,Particulate matter,disease incidence,6.55351949371947e-09
auto_strom_conv,Photochemical ozone formation (human health),kg NMVOC eq,0.00046762374855523875
auto_strom_conv,Resource use fossils,MJ (net calorific),2.5409116255923996
auto_strom_conv,Resource use minerals and metals,kg Sb eq,4.767792044737005e-06
auto_strom_conv,Water use,m3 world eq,0.02322049624459055
auto_strom_green,Acidification,mol H+ eq,0.00043866372038880476
auto_strom_green,Climate change,kg CO2 eq,0.07901633974083982
auto_strom_green,Climate change (biogenic),kg CO2 eq,0.0005315499095544078
auto_strom_green,Climate change (fossil),kg CO2 eq,0.07826232937727245
auto_strom_green,Climate change (land use),kg CO2 eq,0.00022246045401295395
auto_strom_green,Ecotoxicity freshwater,CTUe,0.6005044200767898
auto_strom_green,Ecotoxicity freshwater (inorganics),CTUe,0.5773232646891965
auto_strom_green,Ecotoxicity freshwater (organics),CTUe,0.023181155387593144
auto_strom_green,Eutrophication freshwater,kg P eq,0.00010017871509300897
auto_strom_green,Eutrophication marine,kg N eq,8.230947220990186e-05
auto_strom_green,Eutrophication terrestrial,mol N eq,0.0006533125741072587
auto_strom_green,Human toxicity cancer,CTUh,6.15900612870626e-11
auto_strom_green,Human toxicity cancer (inorganics),CTUh,3.5821863688978315e-11
auto_strom_green,Human toxicity cancer (organics),CTUh,2.5768197598084303e-11
auto_strom_green,Human toxicity non-cancer,CTUh,3.3816906108165192e-09
auto_strom_green,Human toxicity non-cancer (inorganics),CTUh,3.1910986119309775e-09
auto_strom_green,Human toxicity non-cancer (organics),CTUh,1.9059199888194197e-10
auto_strom_green,Ionising radiation (human health),kBq U235 eq,0.05967100680152366
auto_strom_green,Land use,dimensionless (pt),1.7832056116937085
auto_strom_green,Ozone depletion,kg CFC11 eq,2.667803115653989e-09
auto_strom_green,Particulate matter,disease incidence,5.910480134773347e-09
auto_strom_green,Photochemical ozone formation (human health),kg NMVOC eq,0.0003307889362293976
auto_strom_green,Resource use fossils,MJ (net calorific),1.4741794442297023
auto_strom_green,Resource use minerals and metals,kg Sb eq,4.710267213898009e-06
auto_strom_green,Water use,m3 world eq,0.012804779008831702
bike,Acidification,mol H+ eq,2.920075856527396e-05
bike,Climate change,kg CO2 eq,0.005954578475655317
bike,Climate change (biogenic),kg CO2 eq,1.18648398536047e-05
bike,Climate change (fossil),kg CO2 eq,0.005937537217129341
bike,Climate change (land use),kg CO2 eq,5.1764186723713605e-06
bike,Ecotoxicity freshwater,CTUe,0.02475221686797701
bike,Ecotoxicity freshwater (inorganics),CTUe,0.023907012700831995
bike,Ecotoxicity freshwater (organics),CTUe,0.000845204167145016
bike,Eutrophication freshwater,kg P eq,1.3165395220197818e-06
bike,Eutrophication marine,kg N eq,6.862022898947024e-06
bike,Eutrophication terrestrial,mol N eq,6.926508638944288e-05
bike,Human toxicity cancer,CTUh,3.3002762493872506e-12
bike,Human toxicity cancer (inorganics),CTUh,2.100538175939517e-12
bike,Human toxicity cancer (organics),CTUh,1.1997380734477322e-12
bike,Human toxicity non-cancer,CTUh,1.5708645834045455e-10
bike,Human toxicity non-cancer (inorganics),CTUh,1.5395323182294176e-10
bike,Human toxicity non-cancer (organics),CTUh,3.1332265169240006e-12
bike,Ionising radiation (human health),kBq U235 eq,0.0016902528081771215
bike,Land use,dimensionless (pt),0.013460920433697598
bike,Ozone depletion,kg CFC11 eq,1.925339890823633e-10
bike,Particulate matter,disease incidence,1.0300579984080142e-09
bike,Photochemical ozone formation (human health),kg NMVOC eq,2.673294406866727e-05
bike,Resource use fossils,MJ (net calorific),0.0929975895238537
bike,Resource use minerals and metals,kg Sb eq,2.382797642507162e-08
bike,Water use,m3 world eq,0.0005623520751552036
bike_strom_conv,Acidification,mol H+ eq,8.689106615483453e-05
bike_strom_conv,Climate change,kg CO2 eq,0.014042447344962891
bike_strom_conv,Climate change (biogenic),kg CO2 eq,7.405154350811113e-05
bike_strom_conv,Climate change (fossil),kg CO2 eq,0.013959995074645543
bike_strom_conv,Climate change (land use),kg CO2 eq,8.400726809237724e-06
bike_strom_conv,Ecotoxicity freshwater,CTUe,0.07966000161152031
bike_strom_conv,Ecotoxicity freshwater (inorganics),CTUe,0.0780589469484192
bike_strom_conv,Ecotoxicity freshwater (organics),CTUe,0.001601054663101144
bike_strom_conv,Eutrophication freshwater,kg P eq,1.924559319913953e-05
bike_strom_conv,Eutrophication marine,kg N eq,1.762446079089822e-05
bike_strom_conv,Eutrophication terrestrial,mol N eq,0.0001327347530157704
bike_strom_conv,Human toxicity cancer,CTUh,1.2887737693383049e-11
bike_strom_conv,Human toxicity cancer (inorganics),CTUh,6.402370034730593e-12
bike_strom_conv,Human toxicity cancer (organics),CTUh,6.4853676586524535e-12
bike_strom_conv,Human toxicity non-cancer,CTUh,6.26422778589264e-10
bike_strom_conv,Human toxicity non-cancer (inorganics),CTUh,5.947335473114479e-10
bike_strom_conv,Human toxicity non-cancer (organics),CTUh,3.168923127712644e-11
bike_strom_conv,Ionising radiation (human health),kBq U235 eq,0.003469610631120943
bike_strom_conv,Land use,dimensionless (pt),0.050479121899261244
bike_strom_conv,Ozone depletion,kg CFC11 eq,3.724250360665595e-10
bike_strom_conv,Particulate matter,disease incidence,1.3602797565737796e-09
bike_strom_conv,Photochemical ozone formation (human health),kg NMVOC eq,5.094278227400418e-05
bike_strom_conv,Resource use fossils,MJ (net calorific),0.19770963656033871
bike_strom_conv,Resource use minerals and metals,kg Sb eq,3.3362751038033555e-07
bike_strom_conv,Water use,m3 world eq,0.001749133619960208
bike_strom_green,Acidification,mol H+ eq,8.217185196550827e-05
bike_strom_green,Climate change,kg CO2 eq,0.010750809713204693
bike_strom_green,Climate change (biogenic),kg CO2 eq,3.4058051834912805e-05
bike_strom_green,Climate change (fossil),kg CO2 eq,0.010703415521767776
bike_strom_green,Climate change (land use),kg CO2 eq,1.3336139602005422e-05
bike_strom_green,Ecotoxicity freshwater,CTUe,0.0755434044436891
bike_strom_green,Ecotoxicity freshwater (inorganics),CTUe,0.07401045750759423
bike_strom_green,Ecotoxicity freshwater (organics),CTUe,0.0015329469360948731
bike_strom_green,Eutrophication freshwater,kg P eq,1.5578132453087885e-05
bike_strom_green,Eutrophication marine,kg N eq,1.5700735081705916e-05
bike_strom_green,Eutrophication terrestrial,mol N eq,0.00011890844070783238
bike_strom_green,Human toxicity cancer,CTUh,9.497759942754297e-12
bike_strom_green,Human toxicity cancer (inorganics),CTUh,6.205300733829711e-12
bike_strom_green,Human toxicity cancer (organics),CTUh,3.292459208924586e-12
bike_strom_green,Human toxicity non-cancer,CTUh,6.125722703689314e-10
bike_strom_green,Human toxicity non-cancer (inorganics),CTUh,5.814676463208412e-10
bike_strom_green,Human toxicity non-cancer (organics),CTUh,3.1104624047401974e-11
bike_strom_green,Ionising radiation (human health),kBq U235 eq,0.002933099565535015
bike_strom_green,Land use,dimensionless (pt),0.0384749768068086
bike_strom_green,Ozone depletion,kg CFC11 eq,3.2302475256666043e-10
bike_strom_green,Particulate matter,disease incidence,1.3373010041260539e-09
